categoria,trecho,q_inicio,q_fim,q_inicio_analise,fps,id_j,@f,@Vd,@Van,sexo,dosagem,unidade,id_video
Immobility,44,2694,2713,142,30.0,5f8f5508d3d64947e0da232b,2694,-1.5355160358641409,-0.41096499999999997,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Immobility,84,3881,3903,142,30.0,5f8f5508d3d64947e0da232b,3884,-31.10596461162333,-8.32519,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Immobility,96,4016,4030,142,30.0,5f8f5508d3d64947e0da232b,4020,-8.123945254751725,-2.17429,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Immobility,121,4599,4621,142,30.0,5f8f5508d3d64947e0da232b,4613,14.611884885025766,3.9107199999999995,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Immobility,132,5052,5064,142,30.0,5f8f5508d3d64947e0da232b,5057,0.2601834057980942,0.06963539999999999,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Swimming,1,182,192,142,30.0,5f8f5508d3d64947e0da232b,191,-41.381758309368685,-11.0754,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Swimming,80,3845,3861,142,30.0,5f8f5508d3d64947e0da232b,3858,11.980735292102938,3.2065200000000003,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Swimming,95,4000,4016,142,30.0,5f8f5508d3d64947e0da232b,4015,-7.9444128237094915,-2.12624,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Swimming,122,4621,4650,142,30.0,5f8f5508d3d64947e0da232b,4637,-0.08379400661835129,-0.022426599999999998,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Swimming,131,5026,5052,142,30.0,5f8f5508d3d64947e0da232b,5028,-4.847786638502763,-1.29746,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Climbing,12,522,608,142,30.0,5f8f5508d3d64947e0da232b,551,11.140538460293007,2.98165,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Climbing,25,1200,1344,142,30.0,5f8f5508d3d64947e0da232b,1255,-0.6889673802712353,-0.184395,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Climbing,39,2425,2533,142,30.0,5f8f5508d3d64947e0da232b,2473,-29.658608153499923,-7.937819999999999,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Climbing,102,4174,4258,142,30.0,5f8f5508d3d64947e0da232b,4232,27.719022715865485,7.418710000000001,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Climbing,136,5442,5680,142,30.0,5f8f5508d3d64947e0da232b,5574,-1.8378180115304283,-0.49187299999999995,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Headshaking,46,2727,2728,142,30.0,5f8f5508d3d64947e0da232b,2727,0.3588574937197899,0.0960445,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Headshaking,71,3716,3717,142,30.0,5f8f5508d3d64947e0da232b,3716,-31.6492697270833,-8.4706,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Headshaking,87,3928,3929,142,30.0,5f8f5508d3d64947e0da232b,3928,0.4943848632302884,0.13231700000000002,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Headshaking,89,3951,3952,142,30.0,5f8f5508d3d64947e0da232b,3951,-10.29167325720278,-2.75446,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Headshaking,93,3996,3997,142,30.0,5f8f5508d3d64947e0da232b,3996,-117.63913919087729,-31.4849,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Diving,56,2974,3099,142,30.0,5f8f5508d3d64947e0da232b,2976,-21.58940067428969,-5.77818,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Diving,56,2974,3099,142,30.0,5f8f5508d3d64947e0da232b,2977,11.933918614455507,3.1939900000000003,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Diving,56,2974,3099,142,30.0,5f8f5508d3d64947e0da232b,2988,-5.901217931073992,-1.5794,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Diving,56,2974,3099,142,30.0,5f8f5508d3d64947e0da232b,3040,-48.74837935084362,-13.047,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Diving,56,2974,3099,142,30.0,5f8f5508d3d64947e0da232b,3095,3.499507422292909,0.936607,macho,flx2.5mg,A2,5f8f5508d3d64947e0da232d
Immobility,81,3525,3546,108,30.0,5f8f550bd3d64947e0da235b,3535,-4.092674057728991,-1.06772,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Immobility,123,4455,4500,108,30.0,5f8f550bd3d64947e0da235b,4498,20.622865444249523,5.38021,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Immobility,133,4755,4803,108,30.0,5f8f550bd3d64947e0da235b,4756,-6.866532849000263,-1.79138,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Immobility,241,6892,6969,108,30.0,5f8f550bd3d64947e0da235b,6950,-1.9332031784038224,-0.5043449999999999,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Immobility,249,7125,7180,108,30.0,5f8f550bd3d64947e0da235b,7157,4.6780645927909665,1.22044,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Swimming,5,190,233,108,30.0,5f8f550bd3d64947e0da235b,222,-2.8605519403774573,-0.7462770000000001,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Swimming,38,1925,1957,108,30.0,5f8f550bd3d64947e0da235b,1946,7.108784563352784,1.85458,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Swimming,75,3475,3486,108,30.0,5f8f550bd3d64947e0da235b,3482,14.426779547106841,3.7637400000000003,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Swimming,148,5034,5055,108,30.0,5f8f550bd3d64947e0da235b,5040,5.023196623808387,1.3104799999999999,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Swimming,164,5257,5264,108,30.0,5f8f550bd3d64947e0da235b,5258,5.128951763032847,1.33807,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Climbing,44,2207,2326,108,30.0,5f8f550bd3d64947e0da235b,2231,4.300619556204058,1.1219700000000001,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
